bairro,tipo,quantidade,fonte
RECIFE,Violência Doméstica/Familiar,2673,Secretaria de Segurança Pública - PE
JABOATAO DOS GUARARAPES,Violência Doméstica/Familiar,1112,Secretaria de Segurança Pública - PE
PETROLINA,Violência Doméstica/Familiar,933,Secretaria de Segurança Pública - PE
OLINDA,Violência Doméstica/Familiar,849,Secretaria de Segurança Pública - PE
PAULISTA,Violência Doméstica/Familiar,772,Secretaria de Segurança Pública - PE
CARUARU,Violência Doméstica/Familiar,630,Secretaria de Segurança Pública - PE
CABO DE SANTO AGOSTINHO,Violência Doméstica/Familiar,340,Secretaria de Segurança Pública - PE
SERRA TALHADA,Violência Doméstica/Familiar,281,Secretaria de Segurança Pública - PE
CAMARAGIBE,Violência Doméstica/Familiar,279,Secretaria de Segurança Pública - PE
GARANHUNS,Violência Doméstica/Familiar,264,Secretaria de Segurança Pública - PE
ARCOVERDE,Violência Doméstica/Familiar,232,Secretaria de Segurança Pública - PE
SALGUEIRO,Violência Doméstica/Familiar,207,Secretaria de Segurança Pública - PE
VITORIA DE SANTO ANTAO,Violência Doméstica/Familiar,198,Secretaria de Segurança Pública - PE
ABREU E LIMA,Violência Doméstica/Familiar,196,Secretaria de Segurança Pública - PE
SAO LOURENCO DA MATA,Violência Doméstica/Familiar,191,Secretaria de Segurança Pública - PE
IGARASSU,Violência Doméstica/Familiar,188,Secretaria de Segurança Pública - PE
IPOJUCA,Violência Doméstica/Familiar,159,Secretaria de Segurança Pública - PE
SANTA CRUZ DO CAPIBARIBE,Violência Doméstica/Familiar,154,Secretaria de Segurança Pública - PE
ARARIPINA,Violência Doméstica/Familiar,142,Secretaria de Segurança Pública - PE
BELO JARDIM,Violência Doméstica/Familiar,130,Secretaria de Segurança Pública - PE
GOIANA,Violência Doméstica/Familiar,123,Secretaria de Segurança Pública - PE
GRAVATA,Violência Doméstica/Familiar,123,Secretaria de Segurança Pública - PE
PESQUEIRA,Violência Doméstica/Familiar,123,Secretaria de Segurança Pública - PE
SURUBIM,Violência Doméstica/Familiar,119,Secretaria de Segurança Pública - PE
AFOGADOS DA INGAZEIRA,Violência Doméstica/Familiar,118,Secretaria de Segurança Pública - PE
CARPINA,Violência Doméstica/Familiar,117,Secretaria de Segurança Pública - PE
PALMARES,Violência Doméstica/Familiar,106,Secretaria de Segurança Pública - PE
LIMOEIRO,Violência Doméstica/Familiar,102,Secretaria de Segurança Pública - PE
CABROBO,Violência Doméstica/Familiar,96,Secretaria de Segurança Pública - PE
BEZERROS,Violência Doméstica/Familiar,93,Secretaria de Segurança Pública - PE
